,Creation Time,Latency,Arrival Time,Source,Destination,Block ID,QueueTime,TxTime,PropTime,Block Index
913,0.032231827003020394,0.3599417669014158,0.39217359390443624,"Malaga, Spain",Mauritius,0_10_68,0.0007516844457921557,0.004969765745548517,0.35422031671007503,68
350,0.03296949857439145,0.26073862298918943,0.2937081215635809,"Malaga, Spain",Mauritius,0_10_69,0.0007844942274947628,0.003411146443261177,0.25654298231843337,69
664,0.033703782247241555,0.3183930502616829,0.3520968325089245,"Malaga, Spain",Mauritius,0_10_70,0.0007290220126395588,0.0043029284057542845,0.3133610998432889,70
110,0.03435490460109099,0.18725780841197912,0.22161271301307012,"Malaga, Spain",Mauritius,0_10_71,6.950349618278784e-05,0.002556781262606165,0.18463152365319024,71
99,0.034424408097273776,0.18246421274365793,0.2168886208409317,"Malaga, Spain",Mauritius,0_10_72,0.00014088960465299255,0.0024519782451567283,0.1798713448938483,72
702,0.03443492560584466,0.3235827218826314,0.35801764748847603,"Malaga, Spain",Mauritius,0_10_73,3.340832929499271e-05,0.004412152716111646,0.31913716083722465,73
344,0.034448837255606345,0.25838334231130317,0.2928321795669095,"Malaga, Spain",Mauritius,0_10_74,4.1459598466242475e-05,0.0035539993536634717,0.25478788335917346,74
613,0.034463877222532205,0.30956408297717486,0.34402796019970705,"Malaga, Spain",Mauritius,0_10_75,0.00020254573616369093,0.004190934346930945,0.3051706028940801,75
451,0.03461191703081901,0.28047558896821795,0.31508750599903695,"Malaga, Spain",Mauritius,0_10_76,0.001100038945003677,0.003758539341895634,0.27561701068131855,76
167,0.03564181216309856,0.21059580769090405,0.2462376198540026,"Malaga, Spain",Mauritius,0_10_77,0.0010002899165181683,0.002834956375073972,0.20676056139931204,77
1051,0.0366083538151734,0.3792409390902809,0.4158492929054543,"Malaga, Spain",Mauritius,0_10_78,0.00045190605726114913,0.005149473746053322,0.3736395592869662,78
524,0.03703958644050891,0.2908268935758449,0.3278664800163538,"Malaga, Spain",Mauritius,0_10_79,4.5818420911912516e-05,0.003915167654578002,0.28686590750035507,79
1306,0.03704944553885627,0.4290012106376507,0.46605065617650693,"Malaga, Spain",Mauritius,0_10_80,0.001050616191992898,0.005749260046476779,0.42220133439918056,80
